School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
BADGER MOUNTAIN ELEM,Elem,RICHLAND SD,2009,66.81,43.08,Public,23.05,,9.49,295,,
BADGER MOUNTAIN ELEM,Elem,RICHLAND SD,2010,70.77,40.51,Public,23.92,2.88,11.53,347,,
BADGER MOUNTAIN ELEM,Elem,RICHLAND SD,2008,73.27,50.7,Public,25.09,4.12,7.9,291,,
BAILEY GATZERT ELEME,Elem,SEATTLE PS,2010,,40.82,Public,95.9,32.79,25.41,122,,
BAINBRIDGE HIGH SCHO,High,BAINBRIDGE IS SD,2010,78.29,65,Public,6.34,,8.82,363,98.45,92.86
BAINBRIDGE HIGH SCHO,High,BAINBRIDGE IS SD,2009,84.28,50,Public,4.71,0,11.47,340,99.26,100
BAINBRIDGE HIGH SCHO,High,BAINBRIDGE IS SD,2008,89.06,40,Public,2.99,,9.85,335,97.71,
BAINBRIDGE SPECIAL E,Comprehensive,BAINBRIDGE IS SD,2008,,,Alternative,,,,2,,
BAINBRIDGE SPECIAL E,Comprehensive,BAINBRIDGE IS SD,2009,0,0,Alternative,,,,,,
BAINBRIDGE SPECIAL E,Comprehensive,BAINBRIDGE IS SD,2010,0,0,Alternative,0,0,,,,
BAKER,Middle,TACOMA SD,2010,37.13,32.38,Public,70.44,7.43,14.53,592,,
BAKER,Middle,TACOMA SD,2009,43.56,33.25,Public,72.15,6.71,11.58,596,,
